URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/545/rickie-fowler,U.S. Open Championship,6/18-06/22,Round 2,Bethpage State Park - Farmingdale- NY,,2009,1,430,4,4,30,2,389,4,3,29,3,230,3,3,23,4,517,5,4,37,5,478,4,5,31,6,408,4,4,30,7,553,5,4,37,8,210,3,3,23,9,460,4,4,30,10,502,4,4,30,11,435,4,4,30,12,501,4,3,29,13,608,5,4,37,14,161,3,4,24,15,478,4,5,31,16,490,4,4,30,17,207,3,2,22,18,411,4,4,30,  ,30,29,23,37,31,30,37,23,30,30,30,29,37,24,31,30,22,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/545/rickie-fowler,U.S. Open Championship,6/18-06/22,Round 1,Bethpage State Park - Farmingdale- NY,,2009,1,430,4,4,30,2,389,4,4,30,3,230,3,4,24,4,517,5,5,38,5,478,4,5,31,6,408,4,6,32,7,553,5,5,38,8,210,3,3,23,9,460,4,5,31,10,502,4,4,30,11,435,4,5,31,12,501,4,4,30,13,608,5,5,38,14,161,3,3,23,15,478,4,5,31,16,490,4,4,30,17,207,3,4,24,18,411,4,3,29,  ,30,30,24,38,31,32,38,23,31,30,31,30,38,23,31,30,24,29
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/547/rickie-fowler,Travelers Championship,6/25-06/28,Round 2,TPC River Highlands - Cromwell- CT,,2009,1,434,4,5,31,2,341,4,3,29,3,431,4,4,30,4,481,4,5,31,5,223,3,3,23,6,574,5,6,39,7,443,4,4,30,8,202,3,3,23,9,406,4,5,31,10,462,4,4,30,11,158,3,3,23,12,411,4,4,30,13,523,5,4,37,14,421,4,4,30,15,296,4,5,31,16,171,3,3,23,17,433,4,4,30,18,444,4,4,30,  ,31,29,30,31,23,39,30,23,31,30,23,30,37,30,31,23,30,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/547/rickie-fowler,Travelers Championship,6/25-06/28,Round 1,TPC River Highlands - Cromwell- CT,,2009,1,434,4,4,30,2,341,4,4,30,3,431,4,5,31,4,481,4,4,30,5,223,3,3,23,6,574,5,5,38,7,443,4,5,31,8,202,3,3,23,9,406,4,4,30,10,462,4,4,30,11,158,3,3,23,12,411,4,4,30,13,523,5,5,38,14,421,4,4,30,15,296,4,4,30,16,171,3,3,23,17,433,4,4,30,18,444,4,4,30,  ,30,30,31,30,23,38,31,23,30,30,23,30,38,30,30,23,30,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/625/rickie-fowler,Justin Timberlake Shriners Hospitals for Children Open,0/15-10/18,Round 4,TPC Summerlin - Las Vegas- NV,,2009,1,408,4,3,29,2,469,4,4,30,3,492,4,3,29,4,450,4,4,30,5,197,3,3,23,6,430,4,4,30,7,382,4,5,31,8,239,3,3,23,9,563,5,5,38,10,420,4,4,30,11,448,4,4,30,12,442,4,4,30,13,606,5,4,37,14,156,3,3,23,15,341,4,4,30,16,560,5,5,38,17,196,3,3,23,18,444,4,3,29,  ,29,30,29,30,23,30,31,23,38,30,30,30,37,23,30,38,23,29
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/625/rickie-fowler,Justin Timberlake Shriners Hospitals for Children Open,0/15-10/18,Round 3,TPC Summerlin - Las Vegas- NV,,2009,1,408,4,5,31,2,469,4,4,30,3,492,4,4,30,4,450,4,4,30,5,197,3,3,23,6,430,4,4,30,7,382,4,4,30,8,239,3,3,23,9,563,5,3,36,10,420,4,4,30,11,448,4,4,30,12,442,4,3,29,13,606,5,4,37,14,156,3,2,22,15,341,4,4,30,16,560,5,6,39,17,196,3,3,23,18,444,4,5,31,  ,31,30,30,30,23,30,30,23,36,30,30,29,37,22,30,39,23,31
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/625/rickie-fowler,Justin Timberlake Shriners Hospitals for Children Open,0/15-10/18,Round 2,TPC Summerlin - Las Vegas- NV,,2009,1,408,4,4,30,2,469,4,4,30,3,492,4,4,30,4,450,4,4,30,5,197,3,3,23,6,430,4,4,30,7,382,4,3,29,8,239,3,3,23,9,563,5,5,38,10,420,4,3,29,11,448,4,4,30,12,442,4,5,31,13,606,5,4,37,14,156,3,2,22,15,341,4,3,29,16,560,5,3,36,17,196,3,3,23,18,444,4,3,29,  ,30,30,30,30,23,30,29,23,38,29,30,31,37,22,29,36,23,29
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/625/rickie-fowler,Justin Timberlake Shriners Hospitals for Children Open,0/15-10/18,Round 1,TPC Summerlin - Las Vegas- NV,,2009,1,408,4,4,30,2,469,4,3,29,3,492,4,3,29,4,450,4,4,30,5,197,3,3,23,6,430,4,4,30,7,382,4,4,30,8,239,3,3,23,9,563,5,5,38,10,420,4,5,31,11,448,4,3,29,12,442,4,4,30,13,606,5,4,37,14,156,3,3,23,15,341,4,4,30,16,560,5,4,37,17,196,3,2,22,18,444,4,5,31,  ,30,29,29,30,23,30,30,23,38,31,29,30,37,23,30,37,22,31
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/628/rickie-fowler,Frys.com Open,0/22-10/25,Playoff,Grayhawk Golf Club - Raptor - Scottsdale- AZ,,2009,1,413,4, ,33,2,395,4, ,33,3,460,4, ,33,4,562,5, ,41,5,203,3, ,26,6,345,4, ,33,7,498,4, ,33,8,174,3, ,26,9,464,4, ,33,10,390,4, ,33,11,572,5, ,41,12,468,4, ,33,13,230,3, ,26,14,429,4, ,33,15,332,4, ,33,16,211,3, ,26,17,464,4,4,30,18,515,4,4,30,  ,33,33,33,41,26,33,33,26,33,33,41,33,26,33,33,26,30,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/628/rickie-fowler,Frys.com Open,0/22-10/25,Round 4,Grayhawk Golf Club - Raptor - Scottsdale- AZ,,2009,1,413,4,3,29,2,395,4,3,29,3,460,4,4,30,4,562,5,4,37,5,203,3,1,21,6,345,4,4,30,7,498,4,4,30,8,174,3,3,23,9,464,4,5,31,10,390,4,3,29,11,572,5,4,37,12,468,4,3,29,13,230,3,4,24,14,429,4,3,29,15,332,4,4,30,16,211,3,3,23,17,464,4,4,30,18,515,4,5,31,  ,29,29,30,37,21,30,30,23,31,29,37,29,24,29,30,23,30,31
