http://espn.go.com/golf/player/scorecards/_/id/4427/year/2010/tournamentId/846/chao-li,WGC-HSBC Champions,1/03-11/07,Round 4,Sheshan International GC,,2010, 1, 459, 4, 4, 30, 2, 550, 5, 4, 37, 3, 362, 4, 4, 30, 4, 200, 3, 3, 23, 5, 456, 4, 4, 30, 6, 200, 3, 3, 23, 7, 346, 4, 4, 30, 8, 603, 5, 4, 37, 9, 486, 4, 5, 31, 10, 401, 4, 5, 31, 11, 456, 4, 5, 31, 12, 217, 3, 4, 24, 13, 411, 4, 3, 29, 14, 594, 5, 4, 37, 15, 487, 4, 4, 30, 16, 288, 4, 3, 29, 17, 212, 3, 3, 23, 18, 538, 5, 5, 38,  , 30, 37, 30, 23, 30, 23, 30, 37, 31, 31, 31, 24, 29, 37, 30, 29, 23, 38,
http://espn.go.com/golf/player/scorecards/_/id/4427/year/2010/tournamentId/846/chao-li,WGC-HSBC Champions,1/03-11/07,Round 1,Sheshan International GC,,2010, 1, 459, 4, 5, 31, 2, 550, 5, 5, 38, 3, 362, 4, 4, 30, 4, 200, 3, 3, 23, 5, 456, 4, 5, 31, 6, 200, 3, 2, 22, 7, 346, 4, 5, 31, 8, 603, 5, 6, 39, 9, 486, 4, 4, 30, 10, 401, 4, 3, 29, 11, 456, 4, 5, 31, 12, 217, 3, 5, 25, 13, 411, 4, 3, 29, 14, 594, 5, 5, 38, 15, 487, 4, 4, 30, 16, 288, 4, 6, 32, 17, 212, 3, 4, 24, 18, 538, 5, 5, 38,  , 31, 38, 30, 23, 31, 22, 31, 39, 30, 29, 31, 25, 29, 38, 30, 32, 24, 38,
http://espn.go.com/golf/player/scorecards/_/id/4427/year/2010/tournamentId/846/chao-li,WGC-HSBC Champions,1/03-11/07,Round 3,Sheshan International GC,,2010, 1, 459, 4, 4, 30, 2, 550, 5, 4, 37, 3, 362, 4, 4, 30, 4, 200, 3, 3, 23, 5, 456, 4, 4, 30, 6, 200, 3, 3, 23, 7, 346, 4, 3, 29, 8, 603, 5, 5, 38, 9, 486, 4, 5, 31, 10, 401, 4, 4, 30, 11, 456, 4, 5, 31, 12, 217, 3, 3, 23, 13, 411, 4, 4, 30, 14, 594, 5, 6, 39, 15, 487, 4, 5, 31, 16, 288, 4, 4, 30, 17, 212, 3, 3, 23, 18, 538, 5, 6, 39,  , 30, 37, 30, 23, 30, 23, 29, 38, 31, 30, 31, 23, 30, 39, 31, 30, 23, 39,
URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,
http://espn.go.com/golf/player/scorecards/_/id/4427/year/2010/tournamentId/846/chao-li,WGC-HSBC Champions,1/03-11/07,Round 2,Sheshan International GC,,2010, 1, 459, 4, 4, 30, 2, 550, 5, 6, 39, 3, 362, 4, 6, 32, 4, 200, 3, 3, 23, 5, 456, 4, 3, 29, 6, 200, 3, 3, 23, 7, 346, 4, 4, 30, 8, 603, 5, 6, 39, 9, 486, 4, 5, 31, 10, 401, 4, 5, 31, 11, 456, 4, 5, 31, 12, 217, 3, 3, 23, 13, 411, 4, 5, 31, 14, 594, 5, 4, 37, 15, 487, 4, 5, 31, 16, 288, 4, 3, 29, 17, 212, 3, 4, 24, 18, 538, 5, 5, 38,  , 30, 39, 32, 23, 29, 23, 30, 39, 31, 31, 31, 23, 31, 37, 31, 29, 24, 38,
